label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
0,Kepler,K03609.01,2.995357359,6.57901,172400.0,0.529249,4.579,112.12,2437.81,1791.0,5949.0,3.892,1.94,299.13101,41.589901,
1,TESS,TOI-25291,,8.943,4240.0,0.06511528238439883,,10.9718,70.9731,808.0,5822.0,3.97,1.75,118.994535,-52.354833,10.6693
1,Kepler,Kepler-1641 c,32.657035,5.953,620.4,0.023004,42.87,3.73,81.91,767.0,6486.0,4.136,1.485,296.35944,41.574532,
0,Kepler,K04258.01,0.566801617,2.75,24.9,0.004748,1.51,0.88,19598.53,3018.0,6287.0,4.064,1.693,291.21338,42.625599,
1,Kepler,Kepler-169 b,3.25058201,2.2537,218.4,0.014363,8.3,1.19,202.09,962.0,5001.0,4.582,0.76,285.99988,40.919319,
0,Kepler,K05023.01,73.3377984,9.029,114900.0,0.506463,71.1,73.06,30.85,601.0,7276.0,4.318,1.321,295.69751,38.902,
0,Kepler,K07657.01,62.060783,28.203,472.9,0.024658,7.37,2.11,6.07,400.0,5526.0,4.578,0.784,287.24524,38.68808,
0,Kepler,K06915.01,4.43529675,2.117,181.9,0.012463,15.2,1.15,261.33,1026.0,5659.0,4.511,0.842,297.01929,43.478802,
1,Kepler,Kepler-240 c,7.953547,2.6312,875.4,0.026448,22.68,2.25,55.37,696.0,4768.0,4.536,0.779,291.15878,40.750271,
0,Kepler,K07265.01,40.069674617,9.3564,41865.0,0.207722,30.5319,27.38,28.2,588.0,5911.0,4.321,1.207,296.4682,46.85178,
0,Kepler,K02788.01,0.777663575,1.1741,134.3,0.010684,5.046,0.95,2553.18,1816.0,5769.0,4.57,0.812,288.03152,46.827549,
1,Kepler,Kepler-1349 b,2.12821621,3.146,25.9,0.004636,5.2,0.7,1831.55,1668.0,5952.0,4.227,1.377,286.33835,48.744099,
0,TESS,TOI-11591,0.73774,0.636,524.852,0.02290964862235997,,5.28215,,,6449.5,3.94,2.1,282.42081,48.098942,9.5937
0,K2,EPIC 211452175.01,11.114394,6.2304,140535.0,0.37487998079385354,,,,,5904.69,3.69039,2.44643,135.6982706,12.4332847,11.9979
1,Kepler,Kepler-197 d,15.67750191,5.5082,115.5,0.011755,9.6,1.42,101.79,810.0,6003.0,4.303,1.109,295.22644,50.558979,
0,Kepler,K01635.01,3.374684854,4.48335,80917.0,0.478261,6.161,49.25,432.73,1163.0,5754.0,4.514,0.943,297.66129,47.62394,
0,Kepler,K03721.01,6.40802979,2.9288,7784.1,0.394488,9.08,51.44,424.01,1157.0,6261.0,4.293,1.194,295.15491,43.444321,
0,Kepler,K02988.01,2.43731228,1.89,,,,,,,,,,292.3407,37.279861,
1,TESS,TOI-4511,16.364873,4.0478302,2075.0944118,0.045553204188070025,,3.9248322,38.2371999,634.2219521,5481.0,4.56,0.856226,62.966385,-37.93973,10.2666
